Andorra	<http://dbpedia.org/resource/Andorra>
Ukraine	<http://dbpedia.org/resource/Ukraine>
Croatia	<http://dbpedia.org/resource/Croatia>
Liberia	<http://dbpedia.org/resource/Liberia>
Gibraltar	<http://dbpedia.org/resource/Gibraltar>
Georgia	<http://dbpedia.org/resource/Georgia_(country)>
Bangladesh	<http://dbpedia.org/resource/Bangladesh>
Ireland	<http://dbpedia.org/resource/Republic_of_Ireland>
Cameroon	<http://dbpedia.org/resource/Cameroon>
Bosnia and Herzegovina	<http://dbpedia.org/resource/Bosnia_and_Herzegovina>
Korea, Rep.	<http://dbpedia.org/resource/South_Korea>
Saudi Arabia	<http://dbpedia.org/resource/Saudi_Arabia>
South Sudan	<http://dbpedia.org/resource/South_Sudan>
Gabon	<http://dbpedia.org/resource/Gabon>
Angola	<http://dbpedia.org/resource/Angola>
Bolivia	<http://dbpedia.org/resource/Bolivia>
Chile	<http://dbpedia.org/resource/Chile>
Cuba	<http://dbpedia.org/resource/Cuba>
Slovenia	<http://dbpedia.org/resource/Slovenia>
Rwanda	<http://dbpedia.org/resource/Rwanda>
Chad	<http://dbpedia.org/resource/Chad>
Pakistan	<http://dbpedia.org/resource/Pakistan>
Macao SAR, China	<http://dbpedia.org/resource/Macau>
Thailand	<http://dbpedia.org/resource/Thailand>
Philippines	<http://dbpedia.org/resource/Philippines>
Kuwait	<http://dbpedia.org/resource/Kuwait>
Austria	<http://dbpedia.org/resource/Austria>
Congo, Dem. Rep.	<http://dbpedia.org/resource/Democratic_Republic_of_the_Congo>
Ethiopia	<http://dbpedia.org/resource/Ethiopia>
Romania	<http://dbpedia.org/resource/Romania>
Venezuela, RB	<http://dbpedia.org/resource/Venezuela>
Niger	<http://dbpedia.org/resource/Niger>
Oman	<http://dbpedia.org/resource/Oman>
Barbados	<http://dbpedia.org/resource/Barbados>
Malta	<http://dbpedia.org/resource/Malta>
Uzbekistan	<http://dbpedia.org/resource/Uzbekistan>
Puerto Rico	<http://dbpedia.org/resource/Puerto_Rico>
Spain	<http://dbpedia.org/resource/Spain>
South Africa	<http://dbpedia.org/resource/South_Africa>
Cyprus	<http://dbpedia.org/resource/Cyprus>
